school_code,lat,lon,region_code,address,postal_code,town,name,region,pop_count,closed,Académie
0240807X,45.424362,0.8631506,75,Pomerede,24800.0,Saint-Romain-et-Saint-Clément,Ecole primaire de Saint-Romain-et-Saint-Clément,Nouvelle-Aquitaine,328.0,2017,BORDEAUX
0240920V,45.197017200000005,0.7835042,75,4 rue des Charmilles,24750.0,Trélissac,Ecole élémentaire Les Maurilloux,Nouvelle-Aquitaine,6836.0,2016,BORDEAUX
0240955H,44.8534568,0.48753100000000005,75,Rue Aristide Briand,24100.0,Bergerac,Ecole R.Desmaison,Nouvelle-Aquitaine,28063.0,2017,BORDEAUX
0240990W,44.870418799999996,0.3742764,75,6 rue André Rousseau,24130.0,La Force,Ecole élémentaire de la Force,Nouvelle-Aquitaine,2568.0,2016,BORDEAUX
0241013W,44.845628399999995,0.9082579,75,4 place de l'Eglise,24480.0,Le Buisson-de-Cadouin,Ecole maternelle du Buisson-de-Cadouin,Nouvelle-Aquitaine,2073.0,2017,BORDEAUX
0241115G,45.570555600000006,0.5613889,75,Route d'Angouleme,24300.0,Javerlhac-et-la-Chapelle-Saint-Robert,Ecole maternelle de Javerlhac-et-la-Chapelle-Saint-Robert,Nouvelle-Aquitaine,876.0,2016,BORDEAUX
0241123R,45.29233,0.74936,75,Rue Almunia de San Jan,24460.0,Agonac,Ecole maternelle d'Agonac,Nouvelle-Aquitaine,1718.0,2016,BORDEAUX
0241133B,44.74607125,0.975186732678294,75,Place Liberté,24170.0,Belvès,Ecole maternelle de Belvès,Nouvelle-Aquitaine,1383.0,2016,BORDEAUX
0250343M,47.2362653,6.6478649999999995,27,3 rue de l'Eglise,25380.0,Chamesey,Ecole intercommunale,Bourgogne-et-Franche-Comté,119.0,2017,BESANCON
0250395U,47.2574922,6.7027625,27,Route Nationale,25380.0,Cour-Saint-Maurice,Ecole élémentaire de Cour-Saint-Maurice,Bourgogne-et-Franche-Comté,167.0,2016,BESANCON
0020894L,49.06142020000001,3.5731984,32,11 rue de Champagne,2850.0,Passy-sur-Marne,Ecole élémentaire de Passy-sur-Marne,Hauts-de-France,146.0,2017,AMIENS
0020944R,49.09049829999999,3.5358892,32,9 rue du Châtelet,2850.0,Jaulgonne,Ecole élémentaire de Jaulgonne,Hauts-de-France,654.0,2017,AMIENS
